index,text,label_text,label_code
1,Thousands of dead starfish wash ashore on Pembrokeshire coast after stormy weather ,irrelevant or no opinion on climate change,-99
2,"RT A long-brewing crisis caused by drought, war and poverty has now been accelerated by the Taliban's shock takeover in August. The militants' resumption of their Islamic emirate has been accompanied by a suspension of aid and now economic collapse ",irrelevant or no opinion on climate change,-99
3,"Republicans plan to block Biden's Fed nominees including Powell. That's OK. Sarah Raskin is a climate alarmist and inside trader. Lisa Cook is a standard issue progressive/globalist elite. Brainard's OK, but she's a hostage until this gets sorted out. ",irrelevant or no opinion on climate change,-99
4,Many birds were hunted to almost extinction for hats during Victorian era.,irrelevant or no opinion on climate change,-99
5,Just some of the highly specialized training that members undergo to benefit the people of in times of extreme weather events. See this grueling training firsthand in video: ,irrelevant or no opinion on climate change,-99
6,i dont support extinction but this is one thing i think we agree on... force users should not be trusted!,irrelevant or no opinion on climate change,-99
7,"Awful! Unqualified hunter & angler Martha Williams has been confirmed to lead the #USFWS. 15,000 IDA supporters opposed the nomination. Countless animals will suffer & die. #Extinction #NoTrophyHunting #ProtectWildlife ",irrelevant or no opinion on climate change,-99
8,"Look on the bright side, that program you created to keep black men in prison longer so you can use them as free labor to fight forest fires is helping people avoid getting Covid in the prison they are only forced to be in because of you.",irrelevant or no opinion on climate change,-99
9,RT Extinction Rebellion Scotland & has blocked in Glasgow to demand the UK Government & end their hostile environment policy towards migrants. Here's why. 1/9 ,irrelevant or no opinion on climate change,-99
10,Research increasingly reveals a strong relationship  and reciprocal risk factors  between ADHD and PTSD. What explains this mutual comorbidity? PTSD is associated with dysfunction in areas of the brain implicated in fear extinction learning. ,irrelevant or no opinion on climate change,-99
11,Humanity deserves extinction with this ongoing nonsense,irrelevant or no opinion on climate change,-99
12,I think we should put these guys up against transphobes and let them drive each other to extinction. ,irrelevant or no opinion on climate change,-99
13,"Hmm. My gas bill at work this morning. Gas use 109.52...'Additional Charges' including standing charge, climate change levy, & charge for paying in full on time & vat...139.25. FFS. A 248 bill for 109 worth of gas. Criminal.",irrelevant or no opinion on climate change,-99
14,"A) Graham on Fox: I am suggesting that the Biden administration has no stomach for this fight. The reason they're slow walk in military aid to the Ukrainians is they never expected Putin to lose, and they can't embrace the idea that he would lose. He's a climate change partner.",irrelevant or no opinion on climate change,-99
15,In Fairy Tail a Hispanic wizard with an intense racism towards dragons drove them into near extinction ,irrelevant or no opinion on climate change,-99
16,Where is the Quad headed? The Quad's new attention on global issues  from climate change (Biden's pet concern) to cybersecurity and the pandemic  risks diluting the group's Indo-Pacific focus. Its expansive geo-economic agenda could also weigh it down. ,irrelevant or no opinion on climate change,-99
17,Forever? Not likely. There are two possibilities - we breed ourselves into homogeny or we self-extinct ourselves. Extinction seems more likely.,irrelevant or no opinion on climate change,-99
18,"The only place there is a climate emergency is in flawed climate models that predict armageddon in 100 years time. Reality is climate is driven by natural cycles, sun's energy levels and random events; not human activities. Good senator is following a disastrous political agenda.",Strongly disagree with climate change,-2
19,RT They are masking COWS now for climate change. I'm done. ,Strongly disagree with climate change,-2
20,Just keep an eye on what the sneaky bastards are doing behind the scenes to Human Rights legislation and jabbing kids whilst the lying Govt & MSM get everyone watching Ukraine and try to make you believe it's something it's not. Just like the fake virus & climate change.,Strongly disagree with climate change,-2
21,"It's unnoticed by more people than just the premier, mostly because there is no climate crisis or emergency. It's purely manufactured BS by climate alarmists.",Strongly disagree with climate change,-2
22,"I've noticed after self isolating during Covid, the climate change fear porn is back. Everybody panic!!! ",Strongly disagree with climate change,-2
